id,job_title,company,category,job_description,required_skills
1,Data Scientist,TechCorp Nusantara,Data,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns. You will build data products to extract valuable business insights.","Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Statistics, Data Visualization, Pandas"
2,Data Analyst,Shopee Indonesia,Data,"As a Data Analyst, you will interpret data and turn it into information which can offer ways to improve a business. You will gather information from various sources and interpret patterns and trends.","SQL, Excel, Tableau, Power BI, Python, Data Visualization, Analytical Skills, Statistics"
3,Machine Learning Engineer,Gojek,AI,"We are looking for a Machine Learning Engineer to build and deploy scalable AI models. You will be part of the core team designing algorithms that power our recommendation engines.","Python, C++, PyTorch, Scikit-learn, Docker, Kubernetes, MLOps, CI/CD"
4,Frontend Developer,Tokopedia,Software Engineering,"Join our Web team as a Frontend Developer. You will be responsible for building the 'client-side' of our web applications. You should be able to translate our company and customer needs into functional and appealing interactive applications.","HTML, CSS, JavaScript, React.js, Vue.js, Tailwind, Responsive Design, Git"
5,Backend Developer,Traveloka,Software Engineering,"We are seeking a Backend Developer to join our team. You will be responsible for server-side web application logic and integration of the work front-end developers do.","Go, Java, Python, Node.js, PostgreSQL, MongoDB, RESTful API, Microservices"
6,UI/UX Designer,OVO,Design,"We are looking for a UI/UX Designer to turn our software into easy-to-use products for our clients. UX Designer responsibilities include gathering user requirements, designing graphic elements and building navigation components.","Figma, Adobe XD, Wireframing, Prototyping, User Research, UI Design, Usability Testing"
7,Product Manager,Bukalapak,Product,"We are looking for an experienced Product Manager who is passionate about building products that customers love. You will join a dynamic and fast-paced environment and work with cross-functional teams to design, build and roll-out products.","Product Strategy, Agile, Scrum, JIRA, Market Research, Leadership, Data-Driven Decision Making"
8,Digital Marketing Specialist,Tiket.com,Marketing,"We are seeking a Digital Marketing Specialist to develop, implement, track and optimize our digital marketing campaigns across all digital channels.","SEO, SEM, Social Media Marketing, Google Analytics, Content Strategy, Facebook Ads"
9,Cyber Security Analyst,Bank Mandiri,Security,"You will monitor our IT networks to identify security threats, analyze security systems, and devise strategies to protect against cyber attacks.","Network Security, Penetration Testing, Ethical Hacking, SIEM, Firewalls, Cryptography"
10,DevOps Engineer,Telkomsel,Infrastructure,"We are looking for a DevOps Engineer to help us build functional systems that improve customer experience. Responsibilities include deploying product updates, identifying production issues and implementing integrations.","Linux, AWS, GCP, Docker, Terraform, Jenkins, Ansible, CI/CD, Scripting"
11,Business Intelligence Analyst,Blibli,Data,"The BI Analyst will transform data into insights that drive business value. Through use of data analytics, data visualization and data modeling techniques and technologies.","SQL, Data Warehousing, Power BI, Tableau, ETL, Business Analysis"
12,Mobile Developer (Flutter),Ruangguru,Software Engineering,"We are looking for a Mobile Developer to design, develop and maintain our mobile apps. You will be working with our engineering team to develop and maintain high quality mobile applications for both Android and iOS platforms.","Flutter, Dart, REST API, Mobile App Design, Git, Firebase"
